playerId,displayName,height,weight,dob,position,origin
2011834758.0,"Shaw, Matt",187.0,82.0,5-Feb-1992,Midfield,Dandenong Stingrays
2011872696.0,"Wright, Matthew",178.0,75.0,14-Dec-1989,Forward,North Adelaide
2010662147.0,"Blair, Jarryd",174.0,81.0,14-Apr-1990,Forward,Gippsland Power
2007719632.0,"Goldsack, Tyson",193.0,93.0,22-May-1987,Defender,Gippsland Power
2018779630.0,"Murray, Sam",187.0,86.0,2-Sep-1997,Defender,Wodonga Raiders Football Club
2013798422.0,"Oxley, Adam",192.0,78.0,1-Nov-1992,Defender,Redland
2010684385.0,"Dea, Matt",186.0,85.0,13-Oct-1991,Defender,North Ballarat Rebels
2003717206.0,"Goddard, Brendon",193.0,94.0,20-May-1985,"Defender, Midfield",Traralgon
2011713720.0,"Green, Josh",178.0,77.0,24-Aug-1992,Forward,Clarence
2007764226.0,"Leuenberger, Matthew",203.0,103.0,7-Jun-1988,Ruck,East Perth
2016766324.0,"Long, Jake",186.0,75.0,3-Feb-1996,Midfield,St Marys
2012773803.0,"Merrett, Jackson",185.0,83.0,27-Feb-1993,"Defender, Forward",Geelong Falcons
2014653706.0,"Apeness, Michael",199.0,101.0,28-Jan-1995,"Forward, Ruck",Eastern Ranges
2015714459.0,"Grey, Brady",180.0,87.0,20-Jul-1995,Forward,Burnie Dockers
2005742792.0,"Johnson, Michael",195.0,92.0,20-Oct-1984,Defender,Melville
2014757844.0,"Kersten, Shane",191.0,90.0,15-Mar-1993,Defender,South Fremantle
2005802459.0,"Pearce, Danyle",178.0,79.0,7-Apr-1986,Forward,Sturt
2010664604.0,"Barlow, Michael",189.0,91.0,18-Dec-1987,"Midfield, Forward",Werribee Tigers
2018678662.0,"Crossley, Brayden",198.0,102.0,16-Aug-1999,Forward,Gold Coast Academy
2014768460.0,"Leslie, Jack",197.0,98.0,27-Apr-1995,Defender,Gippsland Power
2013763446.0,"Lonergan, Jesse",184.0,91.0,14-Nov-1994,Midfield,Launceston
2005821974.0,"Rosa, Matt",191.0,84.0,23-Nov-1986,Midfield,North Ballarat Rebels
2017835168.0,"Spencer, Max",190.0,82.0,4-Oct-1997,Defender,Gold Coast Academy
2011844132.0,"Thompson, Rory",200.0,100.0,12-Mar-1991,Defender,Southport
2011665405.0,"Black, Aaron",192.0,88.0,29-Nov-1990,Forward,Peel Thunder
2017665513.0,"Buzza, Wylie",198.0,102.0,2-Mar-1996,Forward,Mt Gravatt
2010672367.0,"Crameri, Stewart",190.0,98.0,10-Aug-1988,Forward,Bendigo Bombers
2017672631.0,"Cunico, Jordan",184.0,78.0,7-May-1996,Midfield,Gippsland Power
2015713711.0,"Gregson, Cory",175.0,79.0,4-Sep-1996,Forward,Glenelg
2013662460.0,"Buckley, Dylan",179.0,77.0,16-Mar-1993,Forward,Northern Knights
2005717264.0,"Griffen, Ryan",192.0,88.0,27-Jul-1986,"Midfield, Forward",South Adelaide
2012772311.0,"Mohr, Tim",196.0,103.0,19-Oct-1988,Defender,Casey Scorpions
2013762405.0,"Langford, Will",187.0,83.0,3-Jul-1992,"Midfield, Forward",Easts Fc Sydney
2017773522.0,"Miles, Teia",180.0,70.0,2-Nov-1996,Defender,Geelong Falcons
2013797914.0,"ORourke, Jonathan",184.0,80.0,21-Apr-1994,Midfield,Calder Cannons
2008822999.0,"Rioli, Cyril",177.0,80.0,14-Jul-1989,Forward,St Marys
2009838202.0,"Schoenmakers, Ryan",195.0,94.0,8-Nov-1990,Forward,Norwood
2009877879.0,"Whitecross, Brendan",183.0,86.0,25-Jan-1990,Forward,Zillmere
2012669664.0,"Bugg, Tomas",185.0,79.0,5-Apr-1993,Midfield,Pakenhem Upper
2017778711.0,"Maynard, Corey",185.0,89.0,7-Oct-1991,Midfield,Bryant University
2011801163.0,"Pedersen, Cameron",193.0,95.0,17-Mar-1987,"Forward, Ruck",Box Hill Hawks
2006865213.0,"Vince, Bernie",186.0,86.0,2-Oct-1985,Defender,Woodville-West Torrens
2014721177.0,"Hartung, Billy",177.0,78.0,24-Jan-1995,Midfield,Dandenong Stingrays
2011747373.0,"Jacobs, Ben",185.0,85.0,9-Jan-1992,Midfield,Sandringham Dragons
2018772830.0,"Morgan, Alex",182.0,83.0,28-Jan-1996,Defender,Oakleigh Chargers
2003874001.0,"Waite, Jarrad",194.0,96.0,4-Feb-1983,Forward,Murray Bushrangers
2014667833.0,"Barry, Dom",179.0,78.0,7-Mar-1994,Midfield,North Ballarat Rebels
2013788331.0,"Neade, Jake",170.0,67.0,29-May-1994,Forward,North Ballarat Rebels
2007843652.0,"Thomas, Lindsay",180.0,79.0,29-Feb-1988,Forward,Port Adelaide
2010845874.0,"Trengove, Jack",185.0,82.0,2-Sep-1991,Defender,Sturt
