gameId,year,round,date,venue,startTime,attendance,homeTeam,homeTeamScore,awayTeam,awayTeamScore,rainfall
2021R303,2021.0,R3,02-Apr-2021,Adelaide Oval,7:20 PM,30175.0,Adelaide,95.0,Gold Coast,85.0,0.0
2021R304,2021.0,R3,03-Apr-2021,M.C.G.,1:45 PM,43637.0,Richmond,72.0,Sydney,117.0,0.0
2021R305,2021.0,R3,03-Apr-2021,Docklands,4:35 PM,29234.0,Essendon,143.0,St Kilda,68.0,0.0
2021R306,2021.0,R3,03-Apr-2021,Perth Stadium,5:10 PM,42090.0,West Coast,108.0,Port Adelaide,71.0,0.0
2021R307,2021.0,R3,04-Apr-2021,Docklands,3:20 PM,24551.0,Carlton,109.0,Fremantle,64.0,0.0
2021R308,2021.0,R3,04-Apr-2021,Manuka Oval,6:10 PM,9563.0,Greater Western Sydney,68.0,Melbourne,102.0,0.0
2021R309,2021.0,R3,05-Apr-2021,M.C.G.,3:20 PM,50030.0,Geelong,69.0,Hawthorn,64.0,0.0
2021R401,2021.0,R4,08-Apr-2021,S.C.G.,7:20 PM,28039.0,Sydney,83.0,Essendon,80.0,34.6
2021R402,2021.0,R4,09-Apr-2021,Adelaide Oval,7:20 PM,33742.0,Port Adelaide,79.0,Richmond,77.0,0.8
2021R403,2021.0,R4,10-Apr-2021,Eureka Stadium,1:35 PM,7387.0,Western Bulldogs,73.0,Brisbane Lions,54.0,0.6
2021R404,2021.0,R4,10-Apr-2021,Docklands,4:35 PM,16710.0,St Kilda,102.0,West Coast,82.0,0.4
2021R405,2021.0,R4,10-Apr-2021,Carrara,7:25 PM,11618.0,Gold Coast,59.0,Carlton,70.0,0.0
2021R406,2021.0,R4,10-Apr-2021,M.C.G.,7:25 PM,29866.0,Collingwood,60.0,Greater Western Sydney,90.0,0.4
2021R407,2021.0,R4,11-Apr-2021,Docklands,1:10 PM,13479.0,North Melbourne,68.0,Adelaide,109.0,4.2
2021R408,2021.0,R4,11-Apr-2021,M.C.G.,3:20 PM,33728.0,Melbourne,85.0,Geelong,60.0,4.2
2021R409,2021.0,R4,11-Apr-2021,Perth Stadium,2:40 PM,29490.0,Fremantle,96.0,Hawthorn,81.0,4.4
2021R501,2021.0,R5,15-Apr-2021,Docklands,7:20 PM,32056.0,St Kilda,48.0,Richmond,134.0,0.1
2021R502,2021.0,R5,16-Apr-2021,Perth Stadium,6:10 PM,54159.0,West Coast,103.0,Collingwood,76.0,0.0
2021R503,2021.0,R5,17-Apr-2021,Docklands,4:35 PM,18920.0,Western Bulldogs,118.0,Gold Coast,56.0,0.0
2021R504,2021.0,R5,17-Apr-2021,S.C.G.,4:35 PM,33541.0,Sydney,69.0,Greater Western Sydney,71.0,0.0
2021R505,2021.0,R5,17-Apr-2021,M.C.G.,7:25 PM,32893.0,Carlton,68.0,Port Adelaide,96.0,0.0
2021R506,2021.0,R5,17-Apr-2021,Gabba,7:25 PM,23544.0,Brisbane Lions,102.0,Essendon,45.0,0.0
2021R507,2021.0,R5,18-Apr-2021,Adelaide Oval,12:40 PM,31454.0,Adelaide,72.0,Fremantle,84.0,0.0
2021R508,2021.0,R5,18-Apr-2021,M.C.G.,3:20 PM,36337.0,Hawthorn,54.0,Melbourne,104.0,0.0
2021R509,2021.0,R5,18-Apr-2021,Kardinia Park,4:40 PM,21282.0,Geelong,77.0,North Melbourne,47.0,0.0
2021R601,2021.0,R6,23-Apr-2021,Manuka Oval,7:50 PM,10064.0,Greater Western Sydney,65.0,Western Bulldogs,104.0,0.0
2021R602,2021.0,R6,24-Apr-2021,Kardinia Park,1:45 PM,21282.0,Geelong,136.0,West Coast,39.0,0.0
2021R603,2021.0,R6,24-Apr-2021,Carrara,1:45 PM,9819.0,Gold Coast,100.0,Sydney,60.0,0.0
2021R604,2021.0,R6,24-Apr-2021,Docklands,4:35 PM,29576.0,Carlton,85.0,Brisbane Lions,103.0,0.0
2021R605,2021.0,R6,24-Apr-2021,M.C.G.,7:25 PM,56418.0,Melbourne,82.0,Richmond,48.0,0.0
2021R606,2021.0,R6,24-Apr-2021,Perth Stadium,6:15 PM,0.0,Fremantle,99.0,North Melbourne,48.0,0.0
2021R607,2021.0,R6,25-Apr-2021,York Park,12:30 PM,9007.0,Hawthorn,102.0,Adelaide,99.0,0.0
2021R608,2021.0,R6,25-Apr-2021,M.C.G.,3:20 PM,78113.0,Collingwood,85.0,Essendon,109.0,2.8
2021R609,2021.0,R6,25-Apr-2021,Adelaide Oval,6:10 PM,33125.0,Port Adelaide,93.0,St Kilda,39.0,0.0
2021R701,2021.0,R7,30-Apr-2021,M.C.G.,7:50 PM,52402.0,Richmond,77.0,Western Bulldogs,55.0,0.0
2021R702,2021.0,R7,01-May-2021,M.C.G.,1:45 PM,24397.0,Collingwood,55.0,Gold Coast,79.0,0.0
2021R703,2021.0,R7,01-May-2021,Adelaide Oval,1:40 PM,28853.0,Adelaide,39.0,Greater Western Sydney,106.0,0.0
